trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-102.97217602316425,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",30,0,-144.39432047121556,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,0,-231.5998866708829,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",25,0,-199.2068510856298,"{0: 11, 1: 5, 2: 4, 3: 3, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-95.66576199392092,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-64.7663456145497,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-48.30759399107557,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-5.616663512144442,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",30,10,-80.91037936941106,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",20,0,-96.46725156966909,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-175.9420620142933,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,-195.85414586648182,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-62.81418418975495,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",30,0,-89.61607742321806,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,0,-191.32549580979315,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-162.51257701146395,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,0,-115.57251417627062,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",35,0,-219.7149409822863,"{0: 19, 1: 6, 2: 5, 3: 2, 4: 3}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,0,-194.89370029448747,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-148.71695278294388,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-260.47833266041897,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-75.39270468715331,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,0,-86.71181388806379,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-21.760070629536653,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-154.7587320104103,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,1,-54.935303687375026,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-46.05808948466771,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-66.20122944083471,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
